name,style,ingredients,cook_time,difficulty,suitable_time,suitable_weather,suitable_season,source_recipe_id,source_url,source_category,source_main_taste,source_main_season,source_review_count,source_avg_rating,source_scrap_count
미역국 단시간에 뽀얗고 진하게 끓이기.,한식,"미역인분,마늘,간장,된장,소금개인입맛에맞게,대접",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6867565,https://www.10000recipe.com/recipe/6867565,국/탕,,,606,,
칠리새우ㅣ쉬림프 박스 만들기,한식,"칵테일새우,마늘,버터,식용유,케찹,고춧가루,설탕,간장,식초,물,정사각도시락",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6881815,https://www.10000recipe.com/recipe/6881815,메인반찬,,,548,,
"참치마요덮밥 만들기, 혼밥요리로 딱!",한식,"밥,계란,참치,마요네즈,다진양파,양파,맛술,간장,올리고당,대파,김가루,조리용나이프,밥공기",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6879335,https://www.10000recipe.com/recipe/6879335,밥/죽/떡,,,546,,
(입맛 살리는 초간단 면요리) 새콤달콤 비빔국수,한식,"소면,마늘,맛술,고추장,간장,고춧가루,설탕,올리고당,식초,매실액,참기름,통깨,위생장갑,면기",10,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6865170,https://www.10000recipe.com/recipe/6865170,면/만두,,,526,,
"두부강정 만드는 법, 아이들이 좋아하는 반찬!!",한식,"두부,부침가루,케찹,설탕,올리고당,간장,마늘,키친타올",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6872334,https://www.10000recipe.com/recipe/6872334,,,,524,,
감자요리 - 백종원 감자짜글이,한식,"스팸작은사이즈,감자작은거,양파,청양고추,대파,물,고춧가루,고추장,마늘,맛술,간장,설탕,된장,조리용나이프,트레이",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6891652,https://www.10000recipe.com/recipe/6891652,찌개,,,524,,
[자취요리] 초간단 떡볶이 만들기 + 꿀맛은 덤,한식,"떡볶이떡,어묵,계란,다시마,고춧가루,고추장,올리고당,설탕,간장,소금,식초,물,조리용나이프",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6846848,https://www.10000recipe.com/recipe/6846848,밥/죽/떡,,,522,,
즉석 목살 양념구이~ 달큰한 양념소스가 정말 맛있습니다.,한식,"돼지목살,설탕,간장,물엿,간마늘,생강가루,맛술,후추가루,대파다진거,휴대용가스렌지,계량컵",20,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6925795,https://www.10000recipe.com/recipe/6925795,메인반찬,,,506,,
【이열치열】간단 순두부찌개 만들기~,한식,"다진돼지고기,순두부,양파,대파,줄기,땡초,호박,계란노른자생략가능,맛술,참기름,식용유,고춧가루,간장,마늘,새우젓,후추,조리용나이프,뚝배기",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6871912,https://www.10000recipe.com/recipe/6871912,찌개,,,474,,
스팸마요덮밥 만드는 법 간단한 한그릇요리로 딱!,한식,"스팸작은거,통,계란,밥,양파,간장,맛술,설탕,후추,통깨,김",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6878335,https://www.10000recipe.com/recipe/6878335,밥/죽/떡,,,471,,
오삼불고기 - 센불에서 볶아주면 불맛 제대로 오삼불고기레시피,한식,"오징어,삼겹살,양파,깻잎,대파,설탕,고춧가루,간장,마늘,고추장,매실액,후추,참기름",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6854567,https://www.10000recipe.com/recipe/6854567,메인반찬,,,460,,
"생생 정보통 황금레시피 6146, 오이미역냉국 만들기!!",한식,"미역,오이,양파,청양고추,물,소금,설탕,식초,통깨,주방용나이프,유리반찬통,계량컵,대접",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6830500,https://www.10000recipe.com/recipe/6830500,국/탕,,,459,,
[간단 자취요리] 꿀팁공유 고깃집 밥도둑! 고깃집 된장찌개 만들기,한식,"두부,된장,쌈장,고춧가루,물,대파생략가능,버섯추가무관,감자추가무관,조리용나이프,뚝배기",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6863103,https://www.10000recipe.com/recipe/6863103,찌개,,,443,,
【초간단】 야식 비빔국수 만들기,한식,"국수,양파,오이,깻잎,마늘,간장,고추장,고춧가루,설탕,식초,매실액기스,올리고당,참기름,조리용나이프,위생장갑,면기",10,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6867157,https://www.10000recipe.com/recipe/6867157,면/만두,,,442,,
"경상도식 얼큰 소고기무국 만드는 법, 국물이 칼칼해서 해장국으로도 좋아요 !",한식,"소고기국거리,참기름,숙주나물,큰무,대파,청양고추,홍고추,고춧가루,물,간장,소금,마늘,뚝배기",60,쉬움,저녁,"맑음,비,눈,더위,추위","봄,여름,가을,겨울",6880161,https://www.10000recipe.com/recipe/6880161,국/탕,,,435,,
